step 0: train loss 3.2792, val loss 3.6664
iter 480: loss 3.7423, time 239.08ms
iter 481: loss 2.8816, time 239.80ms
iter 482: loss 3.6318, time 239.33ms
iter 483: loss 3.3438, time 238.99ms
iter 484: loss 3.6641, time 239.29ms
iter 485: loss 2.5235, time 238.87ms
iter 486: loss 2.6773, time 239.39ms
iter 487: loss 3.3271, time 239.43ms
iter 488: loss 3.1797, time 239.14ms
iter 489: loss 2.9510, time 239.77ms
iter 490: loss 3.1520, time 239.12ms
iter 491: loss 2.9548, time 239.33ms
iter 492: loss 3.1981, time 239.25ms
iter 493: loss 3.4750, time 240.57ms
iter 494: loss 3.5939, time 239.25ms
iter 495: loss 2.7929, time 239.04ms
iter 496: loss 3.0895, time 239.19ms
iter 497: loss 3.1583, time 239.37ms
iter 498: loss 2.9180, time 239.32ms
iter 499: loss 3.1491, time 239.78ms
iter 500: loss 3.3209, time 239.17ms
iter 501: loss 3.0034, time 239.45ms
iter 502: loss 3.2084, time 239.25ms
iter 503: loss 3.2038, time 238.92ms
iter 504: loss 3.4811, time 239.67ms
iter 505: loss 2.7557, time 239.16ms
iter 506: loss 3.2382, time 239.63ms
iter 507: loss 3.0925, time 239.39ms
iter 508: loss 2.9853, time 239.15ms
iter 509: loss 3.2556, time 240.38ms
iter 510: loss 3.4179, time 239.29ms
iter 511: loss 2.8182, time 239.34ms
iter 512: loss 2.8318, time 239.33ms
iter 513: loss 2.9232, time 239.24ms
iter 514: loss 3.0522, time 239.16ms
iter 515: loss 3.5868, time 239.08ms
iter 516: loss 3.5492, time 239.54ms
iter 517: loss 3.1640, time 239.98ms
iter 518: loss 3.3655, time 239.64ms
iter 519: loss 4.3021, time 239.05ms
iter 520: loss 2.5281, time 240.13ms
iter 521: loss 3.3852, time 239.38ms
iter 522: loss 3.0089, time 239.27ms
iter 523: loss 3.3022, time 238.91ms
iter 524: loss 3.4296, time 239.62ms
iter 525: loss 3.0978, time 238.94ms
iter 526: loss 3.4390, time 239.62ms
iter 527: loss 3.2919, time 239.46ms
iter 528: loss 3.4698, time 238.96ms
iter 529: loss 2.8053, time 238.87ms
iter 530: loss 2.8241, time 239.34ms
iter 531: loss 3.3923, time 239.25ms
iter 532: loss 2.7333, time 239.42ms
iter 533: loss 2.8203, time 239.09ms
iter 534: loss 3.3432, time 239.15ms
iter 535: loss 3.3882, time 239.05ms
iter 536: loss 3.1533, time 239.16ms
iter 537: loss 2.8944, time 239.08ms
iter 538: loss 3.0440, time 239.05ms
iter 539: loss 3.2125, time 239.26ms
iter 540: loss 2.7239, time 239.10ms
iter 541: loss 3.1319, time 239.06ms
iter 542: loss 3.7636, time 239.55ms
iter 543: loss 3.6304, time 239.09ms
iter 544: loss 3.1697, time 239.02ms
iter 545: loss 3.0714, time 239.40ms
iter 546: loss 3.0912, time 239.11ms
iter 547: loss 3.4176, time 239.27ms
iter 548: loss 3.6439, time 239.53ms
iter 549: loss 3.3484, time 239.16ms
iter 550: loss 3.4383, time 239.18ms
iter 551: loss 3.7976, time 239.18ms
iter 552: loss 3.4319, time 239.16ms
iter 553: loss 3.1684, time 239.05ms
iter 554: loss 3.2003, time 239.39ms
